day_num,weekday,extra,Как вы участвовали сегодня?,Оцените уровень сложности сегодняшнего дня,Насколько было интересно сегодня?,"Оцените качество материалов (слайды, задания, примеры и т.д.)"
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Слишком легко/медленно,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Нейтрально,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Нейтрально,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Слишком сложно/быстро,Очень интересно,Нормально
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Нормально
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Нейтрально,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Слишком легко/медленно,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
2,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
1,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
1,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
